gene_name	log2FoldChange	log2FC.shrink	pvalue	padj	de_vector	condition
CJJ81176_0997	1.3708753544731345	0.01859438764328107	0.42490542651296165	0.6432818938303245	0	As
CJJ81176_0998	-0.5976114341656376	-0.12222141357295453	0.17856829601687135	0.3701082611448939	0	As
CJJ81176_0999	0.005951665313995178	-0.0027663467645831024	0.9556952661243162	0.9791650390136992	0	As
CJJ81176_1000	-0.15429622107866403	-0.10841460131916933	0.265783221504861	0.4810456653683021	0	As
CJJ81176_1001	0.16699804097686838	0.13616651390175363	0.11729132092347688	0.27620214281980043	0	As
CJJ81176_1002	0.790309841703081	0.7426644534494344	2.8285612857581338e-8	2.608231248762237e-6	1	As
CJJ81176_1003	0.5397176501959675	0.4364340152806841	0.003107895017378812	0.021172765178950347	1	As
CJJ81176_1004	0.170246203972631	0.1175817402018169	0.22837704918443072	0.4353825790763032	0	As
CJJ81176_1005	-0.4843633927844927	-0.3312443933216121	0.02350468850055724	0.09445003269031259	0	As
CJJ81176_1006	-0.6046695949492802	-0.47937792484942793	0.002872436881461887	0.020049838312036758	-1	As
CJJ81176_1007	-0.1794340452467503	-0.03415595411728752	0.670031383657374	0.8176029307896251	0	As
CJJ81176_1008	-0.39803299145585774	-0.16367197308504478	0.1597989881800773	0.3410083158239895	0	As
CJJ81176_1009	0.04067093810173479	0.030907180830050833	0.7438642658988623	0.8613682708888346	0	As
CJJ81176_1010	0.02588841547873993	0.019734353682411922	0.7907949337617098	0.8858521252880535	0	As
CJJ81176_1011	0.04159848711175862	0.022147836786093306	0.8251920566668801	0.9058499268674023	0	As
CJJ81176_1012	0.08373424191129619	0.06469274598367848	0.47346067236888184	0.6797714627087629	0	As
CJJ81176_1013	0.04340187427156303	0.03076362738855457	0.6538042599137632	0.8099841222179913	0	As
CJJ81176_1014	-0.09298889608489455	-0.04453445252901495	0.6688615162981557	0.8176029307896251	0	As
CJJ81176_1015	-0.24134394523571132	-0.12011782116206642	0.2816136351138594	0.49937964445291666	0	As
CJJ81176_1016	0.4099404890586362	0.3257779196875418	0.009473477591183959	0.04954487385001282	1	As
CJJ81176_1017	0.4208640935688207	0.19874827721641647	0.1137445746731358	0.2689345409275761	0	As
CJJ81176_1018	0.18091304499980795	0.07278212961398942	0.48815082800729725	0.6888230958002786	0	As
CJJ81176_1019	-0.21191497991803926	-0.17383027589115638	0.059140722379440645	0.16804991246177212	0	As
CJJ81176_1020	-0.4201174678263801	-0.19525452055607184	0.11848361872704628	0.2778191890111072	0	As
CJJ81176_1021	-0.24834712891156208	-0.12404421291837844	0.26619106886750304	0.48128663844774544	0	As
CJJ81176_1022	-1.2858950727367167	-1.2365376520381794	3.708913508194395e-13	2.1660054887855268e-10	-1	As
CJJ81176_1023	-0.16386552475074317	-0.13398023473150866	0.13621059166088356	0.30752700591477833	0	As
CJJ81176_1024	0.04346230632298231	0.031223011449040005	0.7432521798927532	0.8613682708888346	0	As
CJJ81176_1025	-0.35899194907098553	-0.32146880448255466	6.345893857879493e-4	0.006463956999421437	-1	As
CJJ81176_1026	-0.19746722959370075	-0.15094719595041373	0.13874840742687675	0.3112625221741938	0	As
CJJ81176_1027	-0.4999749476015771	-0.44582212899314716	1.14230154659191e-4	0.0017710728403796691	-1	As
CJJ81176_1028	-0.17086453543693128	-0.12607767305628118	0.19726940398087928	0.39331550621383915	0	As
CJJ81176_1029	0.25777837141392895	0.13058641752011368	0.2558544094235927	0.46987099089112627	0	As
CJJ81176_1745	-0.45944372603445766	-0.038736522034396724	0.49925158370021494	0.6947488281515303	0	As
CJJ81176_1031	0.2684958950967318	0.11212970905767725	0.30697348639893524	0.5274260985645252	0	As
CJJ81176_1032	0.36853239350781725	0.33108105751016553	4.5477863522059675e-4	0.005074981967557232	1	As
CJJ81176_1033	0.04119150323360986	0.025447408667414222	0.7959833595203272	0.8882565897322376	0	As
CJJ81176_1034	-0.0885485158686998	-0.05036699524904966	0.6337837856107229	0.7960079991613104	0	As
CJJ81176_1035	0.25640876450703154	0.20919075828341735	0.031048691756204765	0.1119286171952073	0	As
CJJ81176_1036	0.4178607318901685	0.3658281845089223	8.327088731448545e-4	0.007801636073528263	1	As
CJJ81176_1037	0.3239749513177332	0.28030566781303023	0.003884761170332801	0.02549101711768939	1	As
CJJ81176_1038	0.20613455216325827	0.165604579076412	0.08143808731000901	0.21232072762966636	0	As
CJJ81176_1039	0.06898414716842131	0.036169408563051265	0.7317132776273099	0.8582257817681278	0	As
CJJ81176_1040	0.3190269645121647	0.05431878413300787	0.49701549627391844	0.6947338420820118	0	As
CJJ81176_1041	0.5633120169268165	0.5006977737885511	9.951944662851509e-5	0.0015996153256253069	1	As
CJJ81176_1042	-0.05607976494211779	-0.04036281847064128	0.6764225356798481	0.8212697730499612	0	As
CJJ81176_1043	-0.17854289799043285	-0.1471307104424242	0.0955429155438997	0.2411976772808534	0	As
CJJ81176_1044	-0.29407244617962497	-0.13865109193645775	0.22518290690895318	0.4316416333747111	0	As
CJJ81176_1045	0.059601531410074425	0.04043974640117555	0.6242451162149196	0.7893449822397919	0	As
CJJ81176_1046	-0.19017508283700738	-0.1503308813746585	0.11246278027196632	0.2673470706058141	0	As
CJJ81176_1047	0.06393189868549111	0.02113232813663723	0.8310211301369979	0.9099681375000126	0	As
CJJ81176_1048	0.14580786920152392	0.11629209277189963	0.18377010102786592	0.37656750526411825	0	As
CJJ81176_1049	-0.09863003095619277	-0.0799068908245357	0.2774452251967001	0.4944903708490525	0	As
CJJ81176_1050	-0.15747769642215811	-0.10388299204738587	0.3481229244992587	0.5678876757194611	0	As
CJJ81176_1051	0.060630180859452314	0.04061815410579979	0.6799003274977942	0.8230743493403264	0	As
CJJ81176_1052	-0.2651401027570641	-0.20657957939353597	0.0452171814153487	0.1432470906726465	0	As
CJJ81176_1053	-1.0079875843701682	-0.9112400050173831	4.168179236264394e-6	1.4043557734490805e-4	-1	As
CJJ81176_1054	-0.23498061225796513	-0.15737424194975475	0.1553981274852137	0.33529251151982065	0	As
CJJ81176_1055	-0.09431479902593783	-0.02795080752621156	0.7734683581809728	0.8782349731257707	0	As
CJJ81176_1056	-0.153270911804279	-0.12895760240153306	0.13246883526654163	0.3021945304517981	0	As
CJJ81176_1057	0.11587401031884441	0.08129643536647564	0.41376486913421495	0.6331144547800389	0	As
CJJ81176_1058	0.12549557946669693	0.0670378834819076	0.5447003428175174	0.7312987234242375	0	As
CJJ81176_1059	-0.44514751531621133	-0.01596235998583409	0.6783427466536821	0.8230308117293982	0	As
CJJ81176_1060	-0.22946431293461134	-0.00270495921889661	0.9183838350897193	NA	0	As
CJJ81176_1061	-0.6985225444604717	-0.47918582066330795	0.008238875564189287	0.04482767077161376	-1	As
CJJ81176_1062	0.39768237909030313	0.3102124141001693	0.011693479386761364	0.05722618962459751	0	As
CJJ81176_1063	0.3173521870303224	0.10557441449171519	0.3079892855776408	0.5274260985645252	0	As
CJJ81176_1064	0.23714082925095425	0.12145314659749241	0.28402771606862043	0.5011244295591369	0	As
CJJ81176_1065	0.20330688029289237	0.16648732565510962	0.07993514017382332	0.2102798282050127	0	As
CJJ81176_1066	-0.018481335480697775	-0.012086852511066547	0.8797321057423301	0.9375247258275926	0	As
CJJ81176_1067	0.12206459199907158	0.08811940212993767	0.36334998886459113	0.5840267710924437	0	As
CJJ81176_1068	-0.15333491125177828	-2.8002261371002507e-4	0.9506371438560548	NA	0	As
CJJ81176_1069	0.08976606419350391	0.06801123716276199	0.46818713254493444	0.6767853599164398	0	As
CJJ81176_1070	0.29364985367322	0.15375486520038406	0.19039449039358683	0.3825983733211964	0	As
CJJ81176_1071	0.1749844791560529	0.11596949807258404	0.2798055637341482	0.49819039396567855	0	As
